Struthio camelus
Halcyon cyanoventris
Halcyon leucocephala
Halcyon senegalensis
Halcyon senegaloides
Halcyon malimbica
Halcyon albiventris
Halcyon chelicuti
Todirhamphus nigrocyaneus
Todirhamphus winchelli
Todirhamphus diops
Todirhamphus lazuli
Todirhamphus macleayii
Todirhamphus albonotatus
Todirhamphus leucopygius
Todirhamphus farquhari
Todirhamphus pyrrhopygia
Todirhamphus recurvirostris
Todirhamphus cinnamominus
Todirhamphus funebris
Todirhamphus chloris
Todirhamphus enigma
Todirhamphus saurophaga
Todirhamphus australasia
Todirhamphus sanctus
Todirhamphus veneratus
Todirhamphus ruficollaris
Todirhamphus tuta
Todirhamphus godeffroyi
Todirhamphus gambieri
Caridonax fulgidus
Melidora macrorrhina
Actenoides bougainvillei
Actenoides concretus
Actenoides lindsayi
Actenoides hombroni
Actenoides monachus
Actenoides princeps
Syma torotoro
Syma megarhyncha
Tanysiptera hydrocharis
Tanysiptera galatea
Tanysiptera ellioti
Tanysiptera riedelii
Tanysiptera carolinae
Tanysiptera nympha
Tanysiptera danae
Tanysiptera sylvia
Megaceryle maxima
Megaceryle lugubris
Megaceryle alcyon
Megaceryle torquata
Ceryle rudis
Chloroceryle amazona
Chloroceryle americana
Chloroceryle inda
Chloroceryle aenea
Nyctyornis amictus
Nyctyornis athertoni
Meropogon forsteni
Merops gularis
Merops muelleri
Merops bulocki
Merops bullockoides
Merops pusillus
Merops variegatus
Merops oreobates
Merops hirundineus
Merops breweri
Merops revoilii
Merops albicollis
Merops orientalis
Merops boehmi
Merops viridis
Merops persicus
Merops superciliosus
Merops philippinus
Merops ornatus
Merops apiaster
Merops leschenaulti
Merops malimbicus
Merops nubicus
Merops nubicoides
Colius striatus
Colius leucocephalus
Colius castanotus
Colius colius
Urocolius macrourus
Urocolius indicus
Oxylophus jacobinus
Oxylophus levaillantii
Clamator coromandus
Clamator glandarius
Pachycoccyx audeberti
Cuculus crassirostris
Cuculus sparverioides
Cuculus varius
Cuculus vagans
Cuculus fugax
Cuculus solitarius
Cuculus clamosus
Cuculus micropterus
Cuculus canorus
Cuculus gularis
Cuculus saturatus
Cuculus poliocephalus
Cuculus rochii
Cuculus pallidus
Cercococcyx mechowi
Cercococcyx olivinus
Cercococcyx montanus
Cacomantis sonneratii
Cacomantis passerinus
Cacomantis merulinus
Cacomantis sepulcralis
Cacomantis variolosus
Cacomantis castaneiventris
Cacomantis heinrichi
Cacomantis flabelliformis
Rhamphomantis megarhynchus
Chrysococcyx minutillus
Chrysococcyx russatus
Chrysococcyx rufomerus
Chrysococcyx crassirostris
Chrysococcyx lucidus
Chrysococcyx basalis
Chrysococcyx ruficollis
Chrysococcyx meyeri
Chrysococcyx maculatus
Chrysococcyx xanthorhynchus
Chrysococcyx osculans
Chrysococcyx flavigularis
Chrysococcyx klaas
Chrysococcyx cupreus
Chrysococcyx caprius
Caliechthrus leucolophus
Surniculus lugubris
Microdynamis parva
Eudynamys scolopacea
Eudynamys melanorhyncha
Eudynamys cyanocephala
Eudynamys taitensis
Scythrops novaehollandiae
Ceuthmochares aereus
Phaenicophaeus diardi
Phaenicophaeus sumatranus
Phaenicophaeus tristis
Phaenicophaeus viridirostris
Phaenicophaeus leschenaultii
Phaenicophaeus chlorophaeus
Phaenicophaeus javanicus
Phaenicophaeus calyorhynchus
Phaenicophaeus curvirostris
Phaenicophaeus pyrrhocephalus
Phaenicophaeus superciliosus
Phaenicophaeus cumingi
Carpococcyx radiceus
Carpococcyx renauldi
Coua delalandei
Coua gigas
Coua coquereli
Coua serriana
Coua reynaudii
Coua cursor
Coua ruficeps
Coua cristata
Coua verreauxi
Coua caerulea
Centropus milo
Centropus goliath
Centropus violaceus
Centropus menbeki
Centropus ateralbus
Centropus phasianinus
Centropus spilopterus
Centropus bernsteini
Centropus chalybeus
Centropus rectunguis
Centropus steerii
Centropus sinensis
Centropus andamanensis
Centropus nigrorufus
Centropus viridis
Centropus toulou
Centropus grillii
Centropus bengalensis
Centropus chlororhynchus
Centropus leucogaster
Centropus anselli
Centropus neumanni
Centropus monachus
Centropus cupreicaudus
Centropus senegalensis
Centropus superciliosus
Centropus burchelli
Centropus melanops
Centropus celebensis
Centropus unirufus
Coccyzus pumilus
Coccyzus cinereus
Coccyzus erythropthalmus
Coccyzus americanus
Coccyzus euleri
Coccyzus minor
Coccyzus ferrugineus
Coccyzus melacoryphus
Coccyzus lansbergi
Hyetornis pluvialis
Hyetornis rufigularis
Piaya cayana
Piaya melanogaster
Piaya minuta
Saurothera merlini
Saurothera vetula
Saurothera longirostris
Saurothera vieilloti
Opisthocomus hoazin
Crotophaga major
Crotophaga ani
Crotophaga sulcirostris
Guira guira
Tapera naevia
Morococcyx erythropygus
Dromococcyx phasianellus
Dromococcyx pavoninus
Geococcyx californianus
Geococcyx velox
Neomorphus geoffroyi
Neomorphus squamiger
Neomorphus radiolosus
Neomorphus rufipennis
